"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",2009.2
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",2009.2
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",2009.2
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",2009.2
"Svavelhexafluorid (SF6) (kg)","ARBETSMASKINER, TOTALT",..
"Svavelhexafluorid (SF6) (kg)","AVFALL, TOTALT",..
"Svavelhexafluorid (SF6) (kg)","EL OCH FJÄRRVÄRME, TOTALT",..
"Svavelhexafluorid (SF6) (kg)","INDUSTRI, TOTALT",563.4
"Svavelhexafluorid (SF6) (kg)","INRIKES TRANSPORTER, TOTALT",..
"Svavelhexafluorid (SF6) (kg)","UTRIKES TRANSPORTER, TOTALT",..
"Svavelhexafluorid (SF6) (kg)","JORDBRUK, TOTALT",..
"Svavelhexafluorid (SF6) (kg)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",1445.8
"Svavelhexafluorid (SF6) (kg)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..
"Svavelhexafluorid (SF6) (kg)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",45.8
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",45.8
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",45.8
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",45.8
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","AVFALL, TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","INDUSTRI, TOTALT",12.8
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","JORDBRUK, TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",33.0
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..
